a52dec 0.8.0-2
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
aha 0.5.1-3
alsa-card-profiles 1:1.2.2-2
amd-ucode 20240809.59460076-1
amdvlk 2024.Q2.3-1
ani-cli 4.8-2
appstream 1.0.3-1
appstream-qt 1.0.3-1
archlinux-appstream-data 20240526-1
aria2 1.37.0-1
aribb24 1.0.3-4
atac 0.17.0-1
atkmm 2.28.4-1
attica 6.5.0-1
atuin 18.3.0-1
auto-cpufreq 2.3.0-1
baloo 6.5.0-1
baloo-widgets 24.05.2-1
base 3-2
base-devel 1-1
bat 0.24.0-2
bluedevil 1:6.1.4-1
bluez 5.77-1
bluez-qt 6.5.0-1
bluez-utils 5.77-1
bolt 0.9.8-1
boost-libs 1.83.0-9
box2d 2.4.2-1
breeze 6.1.4-1
breeze-gtk 6.1.4-1
breeze-icons 6.5.0-1
brightnessctl 0.5.1-3
btop 1.3.2-1
bubblewrap 0.10.0-1
caddy 2.8.4-1
cairomm 1.14.5-1
capstone 5.0.1-3
cifs-utils 7.0-4
clang 18.1.8-2
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-15
cmake 3.30.2-1
cmatrix 2.0-3
colord 1.4.7-2
composefs 1.0.4-1
convertlit 1.8-12
cpufetch 1.05-1
cronie 1.7.2-1
dart 3.4.4-1
dbus-glib 0.112-4
ddcutil 2.1.4-1
dialog 1:1.3_20240619-2
discord 0.0.64-1
discount 3.0.0.d-1
discover 6.1.4-1
dmidecode 3.6-1
docker 1:27.1.2-1
docker-compose 2.29.2-1
dolphin 24.05.2-1
dosfstools 4.2-4
dotconf 1.4.1-1
dracula-gtk-theme v4.0.0-1
dracula-icons-git 1.0.0.2d3c83ca-2
drkonqi 6.1.4-1
dtc 1.7.0-5
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
edk2-ovmf 202311-1
efibootmgr 18-3
electron30 30.4.0-1
elementary-icon-theme 8.0.0-1
exfat-utils 1.4.0-3
exo 4.18.0-2
extra-cmake-modules 6.5.0-1
eza 0.19.0-1
faad2 2.11.1-1
fastfetch 2.21.3-1
ffmpeg 2:7.0.2-1
ffmpeg4.4 4.4.4-6
flameshot 12.1.0-3
flatpak 1:1.15.10-1
fmt 10.2.0-1
foot 1.18.1-1
frameworkintegration 6.5.0-1
freerdp2 2.11.7-1
fzf 0.54.3-1
garcon 4.18.2-1
gdb 15.1-1
gdb-common 15.1-1
gdu 5.29.0-1
geoclue 2.7.1-3
gifgen 1.2.0-1
git 2.46.0-1
git-filter-repo 2.38.0-3
github-cli 2.54.0-1
glfw 3.4-2
glibmm 2.66.7-1
gnome-themes-extra 3.28+r6+g45b1d457-2
go 2:1.23.0-1
gobject-introspection 1.80.1-3
gobject-introspection-runtime 1.80.1-3
golangci-lint 1.60.1-1
google-chrome 127.0.6533.119-1
gparted 1.6.0-1
gperftools 2.15-1
graphviz 12.0.0-1
grim 1.4.1-2
grub 2:2.12-2
gsm 1.0.22-2
gssdp 1.6.3-1
gst-plugins-bad-libs 1.24.6-1
gtest 1.15.2-1
gtk-layer-shell 0.8.2-1
gtk3 1:3.24.43-1
gtk3-docs 1:3.24.43-1
gtk4 1:4.14.5-1
gtkmm3 3.24.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.54.2-1
harfbuzz-icu 9.0.0-1
highway 1.2.0-1
htop 3.3.0-3
hyphen 2.8.8-6
hyprland 0.42.0-1
i2c-tools 4.3-6
imagemagick 7.1.1.36-1
imath 3.1.11-2
iniparser 4.2.4-1
innoextract 1.9-10
jack2 1.9.22-1
jasper 4.2.4-1
jless 0.9.0-2
json-glib 1.8.0-2
kaccounts-integration 24.05.2-1
kactivitymanagerd 6.1.4-1
kate 24.05.2-1
kauth 6.5.0-1
kbookmarks 6.5.0-1
kcmutils 6.5.0-1
kcodecs 6.5.0-1
kcolorscheme 6.5.0-1
kcompletion 6.5.0-1
kconfig 6.5.0-1
kconfigwidgets 6.5.0-1
kcoreaddons 6.5.0-1
kcrash 6.5.0-1
kdbusaddons 6.5.0-1
kde-cli-tools 6.1.4-1
kde-gtk-config 6.1.4-1
